,Version,Annee,Prix,Kilometrage,Pro/Part,Telephone,PrixArgus,Comparaison
0,Intens,2014,8 990,49 000 ,Particulier,,12 194,
1,n/a,2014,10 490,2 700 ,Professionnel,,,
2,Intens,2017,16 900,4 000 ,Particulier,,15 008,
3,Intens,2015,10 990,15 254 ,Professionnel,,12 769,
4,Life,2013,8 990,8 751 ,Professionnel,,10 324,
5,Zen,2016,12 480,8 909 ,Professionnel,,12 682,
6,Life,2016,8 900,5 750 ,Particulier,,14 848,
7,Life,2014,9 500,7 039 ,Professionnel,,9 644,
8,Life,2014,8 980,25 257 ,Professionnel,,9 644,
9,Life,2013,8 500,13 484 ,Professionnel,,10 324,
10,Zen,2013,8 300,47 000 ,Particulier,,8 372,
11,Zen,2013,9 300,19 500 ,Particulier,,8 372,
12,Zen,2013,9 490,17 900 ,Professionnel,,8 372,
13,Intens,2013,10 300,24 000 ,Particulier,,9 820,
14,Intens,2013,7 950,29 500 ,Particulier,,9 820,
15,Intens,2013,9 890,31 426 ,Professionnel,,9 820,
16,Life,2013,7 990,31 451 ,Professionnel,,10 324,
17,Life,2013,6 790,70 896 ,Professionnel,,10 324,
18,Life,2013,8 000,27 500 ,Particulier,,10 324,
19,Life,2016,10 890,6 667 ,Professionnel,,14 848,
20,Zen,2017,16 390,500 ,Professionnel,,13 023,
21,Zen,2013,8 000,55 300 ,Particulier,,8 372,
22,Life,2015,9 900,17 940 ,Professionnel,,12 773,
23,Life,2015,10 690,7 248 ,Professionnel,,12 773,
24,Intens,2013,7 990,66 951 ,Professionnel,,9 820,
25,Zen,2015,11 590,3 100 ,Professionnel,,10 434,
26,Intens,2015,10 700,40 095 ,Professionnel,,12 769,
27,Zen,2013,8 700,81 404 ,Professionnel,,8 372,
28,n/a,2015,9 000,11 900 ,Particulier,,,
29,Intens,2014,10 900,18 815 ,Professionnel,,12 194,
30,Intens,2015,11 090,10 014 ,Professionnel,,12 769,
31,Intens,2017,17 790,1 ,Professionnel,,15 008,
32,Zen,2014,10 990,8 184 ,Professionnel,,10 272,
33,Intens,2017,17 790,1 ,Professionnel,,15 008,
34,Intens,2017,17 490,1 ,Professionnel,,15 008,
35,Intens,2017,17 790,1 ,Professionnel,,15 008,
36,Intens,2017,17 790,1 ,Professionnel,,15 008,
37,Intens,2017,17 790,1 ,Professionnel,,15 008,
38,Intens,2017,17 490,1 ,Professionnel,,15 008,
39,Intens,2017,17 790,1 ,Professionnel,,15 008,
40,Intens,2017,17 790,1 ,Professionnel,,15 008,
41,Zen,2013,8 790,19 186 ,Professionnel,,8 372,
42,Intens,2017,17 790,1 ,Professionnel,,15 008,
43,Intens,2017,17 790,1 ,Professionnel,,15 008,
44,Intens,2017,17 790,1 ,Professionnel,,15 008,
45,Intens,2015,11 990,19 756 ,Professionnel,,12 769,
46,Zen,2016,13 900,100 ,Professionnel,,12 682,
47,Intens,2015,10 450,20 000 ,Particulier,,12 769,
48,Zen,2013,9 980,49 299 ,Professionnel,,8 372,
49,Life,2014,10 400,2 759 ,Professionnel,,9 644,
50,Intens,2017,29 900,200 ,Particulier,,15 008,
51,Intens,2016,13 290,6 130 ,Professionnel,,15 160,
52,Zen,2016,13 900,100 ,Professionnel,,12 682,
53,Zen,2017,16 800,7 400 ,Particulier,,13 023,
54,Life,2014,9 980,33 853 ,Professionnel,,9 644,
55,n/a,2017,27 405,4 900 ,Professionnel,,,
56,Zen,2016,10 390,100 ,Professionnel,,12 682,
57,Zen,2016,11 690,100 ,Professionnel,,12 682,
58,Zen,2016,11 390,100 ,Professionnel,,12 682,
59,Life,2014,9 600,27 582 ,Professionnel,,9 644,
